https://aprs.fi/?c=raw&call=N8EPK-11&limit=300&view=normal
=====================
2023-06-10 10:21:04 EDT: N8EPK-11>APLIGA,WIDE1-1,WIDE2-1,qAO,N8EPK-10:>Bartold-3: Hello world!!!
2023-06-10 12:14:27 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,VA3APW-3:/161422h4209.41N/08220.88WO116/012/A=015270 043TxC  -0.20C  571.77hPa  5.13V 04S https://bartold.sienkowski.com/
2023-06-10 12:15:43 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,K8GPS-10:/161538h4209.30N/08220.51WO110/014/A=015038 044TxC   1.60C  576.48hPa  5.73V 04S https://bartold.sienkowski.com/
2023-06-10 12:16:59 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,K8GPS-10:/161654h4209.20N/08220.06WO106/017/A=014804 045TxC   1.90C  582.51hPa  5.28V 04S https://bartold.sienkowski.com/
2023-06-10 12:20:42 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,NV8P-1:/161306h4209.54N/08221.26WO119/015/A=015458 042TxC  -0.20C  567.37hPa  5.33V 05S https://bartold.sienkowski.com/ [Delayed or out-of-order packet (timestamp)]
2023-06-10 12:22:53 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,NV8P-1:/161654h4209.20N/08220.06WO106/017/A=014804 045TxC   1.90C  582.51hPa  5.28V 04S https://bartold.sienkowski.com/
2023-06-10 12:23:01 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,VA3APW-3:/162256h4208.39N/08217.76WO114/018/A=013247 046TxC   6.70C  624.20hPa  5.69V 06S https://bartold.sienkowski.com/ [Location changes too fast (adaptive limit)]
2023-06-10 12:24:16 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,K8GPS-10:/162411h4208.20N/08217.29WO123/018/A=012810 047TxC   6.90C  630.44hPa  5.63V 06S https://bartold.sienkowski.com/
2023-06-10 12:25:29 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,K8TIH:/162524h4208.00N/08216.88WO112/018/A=012700 048TxC   0.20C  620.08hPa  5.61V 05S https://bartold.sienkowski.com/
2023-06-10 12:26:42 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,K8TIH:/162637h4207.79N/08216.51WO132/016/A=012330 049TxC   8.40C  641.30hPa  5.68V 05S https://bartold.sienkowski.com/
2023-06-10 12:27:56 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,K8TIH:/162751h4207.57N/08216.15WO127/017/A=012084 050TxC   8.80C  648.98hPa  5.68V 07S https://bartold.sienkowski.com/
2023-06-10 12:29:10 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,VA3APW-3:/162905h4207.35N/08215.81WO132/016/A=011711 051TxC   7.90C  657.52hPa  5.40V 07S https://bartold.sienkowski.com/
2023-06-10 12:34:19 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,VA3APW-3:/163414h4206.45N/08214.07WO120/023/A=010484 052TxC  10.10C  686.57hPa  5.44V 07S https://bartold.sienkowski.com/
2023-06-10 12:35:33 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,K8TIH:/163528h4206.20N/08213.57WO127/020/A=010243 053TxC   9.70C  693.99hPa  5.35V 05S https://bartold.sienkowski.com/
2023-06-10 12:39:11 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,K8TIH:/163906h4205.58N/08212.31WO116/016/A=009993 054TxC  12.20C  711.60hPa  4.75V 12S https://bartold.sienkowski.com/
2023-06-10 12:40:49 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,VA3APW-3:/164044h4205.25N/08211.71WO115/017/A=012151 055TxC  12.30C  717.68hPa  5.10V 12S https://bartold.sienkowski.com/
2023-06-10 12:42:03 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,W8QT-1:/164158h4205.23N/08211.27WO115/020/A=009149 056TxC  11.90C  722.98hPa  4.95V 08S https://bartold.sienkowski.com/
2023-06-10 12:47:57 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,VA3APW-3:/164752h4204.45N/08209.38WO124/015/A=008054 058TxC  12.40C  754.17hPa  5.40V 06S https://bartold.sienkowski.com/
2023-06-10 12:49:11 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,N8HKU-5:/164906h4204.26N/08209.00WO120/016/A=007880 059TxC  11.70C  758.28hPa  5.26V 07S https://bartold.sienkowski.com/
2023-06-10 12:50:25 EDT: N8EPK-11>APLIGA,WIDE2-1,qAO,AA8HS-1:/165020h4204.08N/08208.65WO123/010/A=007670 060TxC  12.50C  765.06hPa  5.23V 06S https://bartold.sienkowski.com/
2023-06-10 12:51:41 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,K8TIH:/165136h4203.95N/08208.34WO123/011/A=007365 061TxC  13.10C  772.30hPa  5.18V 07S https://bartold.sienkowski.com/
2023-06-10 12:52:57 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,N8HKU-5:/165252h4203.82N/08208.13WO116/008/A=007120 062TxC  13.10C  780.01hPa  5.08V 07S https://bartold.sienkowski.com/
2023-06-10 12:54:11 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,VA3APW-3:/165406h4203.77N/08207.96WO116/007/A=006921 063TxC  12.90C  787.03hPa  5.11V 06S https://bartold.sienkowski.com/
2023-06-10 12:55:26 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,VA3APW-3:/165520h4203.71N/08207.83WO114/005/A=006610 064TxC  12.70C  794.81hPa  4.95V 08S https://bartold.sienkowski.com/
2023-06-10 12:56:40 EDT: N8EPK-11>APLIGA,WIDE2-1,qAR,VA3APW-3:/165634h4203.64N/08207.68WO092/008/A=006357 065TxC  12.80C  802.18hPa  5.35V 07S https://bartold.sienkowski.com/
2023-06-10 12:58:43 EDT: N8EPK-11>APLIGA,K8YSE-1*,WIDE2*,qAR,NV8P-1:/165252h4203.82N/08208.13WO116/008/A=007120 062TxC  13.10C  780.01hPa  5.08V 07S https://bartold.sienkowski.com/ [Delayed or out-of-order packet (timestamp)]
2023-06-10 13:00:28 EDT: N8EPK-11>APLIGA,K8YSE-1*,WIDE2*,qAR,NV8P-1:/165406h4203.77N/08207.96WO116/007/A=006921 063TxC  12.90C  787.03hPa  5.11V 06S https://bartold.sienkowski.com/ [Delayed or out-of-order packet (timestamp)]
